model,train_fraction,mean_f1,std_f1,mean_pr_auc,std_pr_auc,mean_recall,std_recall,mean_precision,std_precision,mean_training_time
quantum_kernel_svc_statevector,0.1,0.010040347594498018,5.3590659651565935e-05,0.005880193494500013,0.001237294704986157,0.8879999999999999,0.09355212450821201,0.005048939312544959,2.9900845418977407e-05,0.0038303236669889884
quantum_kernel_svc_statevector,0.25,0.010413722058691026,0.0005431248439051097,0.007131600650361978,0.00034239219439519136,0.908,0.06102458520956942,0.005236901620731253,0.000272738751405548,0.00770058900040264
quantum_kernel_svc_statevector,0.5,0.010004228792229798,0.00029370033707288597,0.005114240676501465,0.00044962315491757385,0.8773333333333334,0.0508461732417823,0.005030922670606188,0.00014964649213352178,0.014115126333611746
quantum_kernel_svc_statevector,1.0,0.01008353141599882,3.896496792391537e-05,0.005846853261913105,0.0012943874580804763,0.9453333333333332,0.0845064100132844,0.005068967091123786,2.2277231950020884e-05,0.04075786266669942
reduced_logistic_regression,0.1,0.010374442630640055,8.343805062247236e-05,0.005513063738784606,0.0013635069490635253,0.8926666666666666,0.06119912853410038,0.005217665218590716,4.439547423930218e-05,1.6675858913331467
reduced_logistic_regression,0.25,0.010333545467028346,0.0002059254996700063,0.0075210823629016455,0.0010798096292361746,0.9253333333333335,0.0057735026918962545,0.005195788032385132,0.00010394359410718106,0.4862071326673079
reduced_logistic_regression,0.5,0.010452122723855454,0.0002727659032303494,0.006969751518991989,0.00024239071639036203,0.89,0.05888972745734188,0.005257109105608652,0.00014004220741568643,0.02592255800057804
reduced_logistic_regression,1.0,0.01049827464115908,0.0,0.006902500486523106,0.0,0.934,0.0,0.00527880452598144,0.0,0.012500395000339873
reduced_mlp,0.1,0.009886410849948143,0.00034516278045883356,0.004665065884656812,0.0002791155054335026,0.9093333333333332,0.12503332889007365,0.004970434563672296,0.00017054355170561093,0.03900574933322787
reduced_mlp,0.25,0.009793340013385434,0.0004960590491033381,0.0055890297245424795,0.0011581543633742977,0.868,0.10948972554536796,0.00492456780411757,0.00024723506305173544,0.07479290999981458
reduced_mlp,0.5,0.010088471313078834,0.00018150255519849178,0.006057134094852589,0.0025127396552856213,0.8826666666666667,0.08693292433441614,0.005073362731606613,8.883098649926439e-05,0.08939946166659259
reduced_mlp,1.0,0.0100762410813984,0.00031508288039622755,0.005502418825296747,0.001149713607010669,0.8593333333333334,0.0737925018774491,0.0050679019926364805,0.0001570024733591098,0.14278480266693805
reduced_svm_rbf,0.1,0.009905717263468096,4.007388283242678e-05,0.006136645452018061,0.0023120618607540126,0.8673333333333333,0.10365969965870696,0.004981555226251022,1.7133227723109138e-05,0.007488326666740856
reduced_svm_rbf,0.25,0.010167277228838261,0.00014726036103834212,0.0056931233576824935,0.0012415950131514062,0.9846666666666666,0.011372481406154659,0.005110026077018049,7.436335848616521e-05,0.027653556999818345
reduced_svm_rbf,0.5,0.010066748066250072,0.0001315843953889141,0.007462709958026332,0.00514011279213821,0.908,0.022538855339169307,0.005061454361248862,6.697918503577141e-05,0.09588341366603952
reduced_svm_rbf,1.0,0.009947522359566129,0.00037335847702036864,0.004857248131739028,0.0003039616701002346,0.9206666666666666,0.11402338941345908,0.0050009699274641,0.0001860976223182248,0.3613435983334057
