sample_index,original_test_index,label,sample_weight,hardware_score,threshold,hardware_pred
0,106,0,200.0,0.006986141592081734,0.004931297038199307,1
1,147,0,200.0,0.0068251114280476035,0.004931297038199307,1
2,98,0,200.0,0.007262950227306618,0.004931297038199307,1
3,142,0,200.0,0.007668862051446877,0.004931297038199307,1
4,72,0,200.0,0.0066677680769705915,0.004931297038199307,1
5,6,1,1.0,0.006168861648795642,0.004931297038199307,1
6,124,1,1.0,0.005796593634354684,0.004931297038199307,1
7,10,1,1.0,0.006314506843194839,0.004931297038199307,1
8,114,1,1.0,0.006932050008050939,0.004931297038199307,1
9,65,0,200.0,0.006719811393154856,0.004931297038199307,1
10,15,0,200.0,0.006217035268644682,0.004931297038199307,1
11,13,0,200.0,0.006168861648795642,0.004931297038199307,1
12,175,0,200.0,0.007550643325170114,0.004931297038199307,1
13,82,1,1.0,0.006314506843194839,0.004931297038199307,1
14,133,1,1.0,0.006772258148825242,0.004931297038199307,1
15,84,0,200.0,0.0065140282647974355,0.004931297038199307,1
16,44,0,200.0,0.0065648795403279525,0.004931297038199307,1
17,107,0,200.0,0.007262950227306618,0.004931297038199307,1
18,39,1,1.0,0.006363810546574545,0.004931297038199307,1
19,17,0,200.0,0.007206730952089772,0.004931297038199307,1
20,160,0,200.0,0.006932050008050939,0.004931297038199307,1
21,2,1,1.0,0.006413496728883293,0.004931297038199307,1
22,186,1,1.0,0.007434233337378691,0.004931297038199307,1
23,180,1,1.0,0.0065648795403279525,0.004931297038199307,1
24,83,1,1.0,0.006616125138944273,0.004931297038199307,1
25,53,1,1.0,0.006314506843194839,0.004931297038199307,1
26,91,1,1.0,0.007434233337378691,0.004931297038199307,1
27,167,0,200.0,0.0068251114280476035,0.004931297038199307,1
28,138,0,200.0,0.006616125138944273,0.004931297038199307,1
29,116,1,1.0,0.007550643325170114,0.004931297038199307,1
30,59,1,1.0,0.007040652266485534,0.004931297038199307,1
31,96,1,1.0,0.006217035268644682,0.004931297038199307,1
32,145,0,200.0,0.006616125138944273,0.004931297038199307,1
33,123,0,200.0,0.007319604832300526,0.004931297038199307,1
34,25,0,200.0,0.007206730952089772,0.004931297038199307,1
35,30,0,200.0,0.0076095248768187134,0.004931297038199307,1
36,168,0,200.0,0.007434233337378691,0.004931297038199307,1
37,33,1,1.0,0.006314506843194839,0.004931297038199307,1
38,36,1,1.0,0.007206730952089772,0.004931297038199307,1
39,176,0,200.0,0.007319604832300526,0.004931297038199307,1
40,179,1,1.0,0.00602655541219086,0.004931297038199307,1
41,109,1,1.0,0.007206730952089772,0.004931297038199307,1
42,177,1,1.0,0.006878374337783785,0.004931297038199307,1
43,146,1,1.0,0.006413496728883293,0.004931297038199307,1
44,21,1,1.0,0.006932050008050939,0.004931297038199307,1
45,75,0,200.0,0.0065140282647974355,0.004931297038199307,1
46,153,0,200.0,0.006878374337783785,0.004931297038199307,1
47,100,1,1.0,0.006217035268644682,0.004931297038199307,1
48,85,0,200.0,0.006616125138944273,0.004931297038199307,1
49,174,1,1.0,0.007206730952089772,0.004931297038199307,1
50,46,1,1.0,0.005933502153388108,0.004931297038199307,1
51,58,0,200.0,0.0065140282647974355,0.004931297038199307,1
52,188,0,200.0,0.007095585231410494,0.004931297038199307,1
53,129,0,200.0,0.0066677680769705915,0.004931297038199307,1
54,45,1,1.0,0.006217035268644682,0.004931297038199307,1
55,110,1,1.0,0.0068251114280476035,0.004931297038199307,1
56,22,1,1.0,0.006986141592081734,0.004931297038199307,1
57,103,1,1.0,0.007040652266485534,0.004931297038199307,1
58,89,1,1.0,0.00602655541219086,0.004931297038199307,1
59,81,1,1.0,0.007095585231410494,0.004931297038199307,1
60,187,0,200.0,0.007262950227306618,0.004931297038199307,1
61,163,1,1.0,0.006463568318296707,0.004931297038199307,1
62,27,1,1.0,0.006719811393154856,0.004931297038199307,1
63,61,0,200.0,0.006878374337783785,0.004931297038199307,1
64,115,0,200.0,0.006363810546574545,0.004931297038199307,1
65,12,0,200.0,0.0066677680769705915,0.004931297038199307,1
66,73,0,200.0,0.007319604832300526,0.004931297038199307,1
67,132,0,200.0,0.006413496728883293,0.004931297038199307,1
68,80,0,200.0,0.007206730952089772,0.004931297038199307,1
69,144,0,200.0,0.00602655541219086,0.004931297038199307,1
70,101,0,200.0,0.007040652266485534,0.004931297038199307,1
71,79,1,1.0,0.007668862051446877,0.004931297038199307,1
72,121,1,1.0,0.006719811393154856,0.004931297038199307,1
73,158,1,1.0,0.00737669808737844,0.004931297038199307,1
74,40,1,1.0,0.006121059010219215,0.004931297038199307,1
75,137,0,200.0,0.007040652266485534,0.004931297038199307,1
76,55,1,1.0,0.006878374337783785,0.004931297038199307,1
77,131,1,1.0,0.0066677680769705915,0.004931297038199307,1
78,154,0,200.0,0.007668862051446877,0.004931297038199307,1
79,113,0,200.0,0.006772258148825242,0.004931297038199307,1
