sample_index,original_test_index,label,sample_weight,simulator_score,hardware_score,absolute_score_difference,simulator_pred,hardware_pred,agreement
0,106,0,200.0,0.00499014648370801,0.0069861415920817,0.0019959951083736898,1,1,1
1,147,0,200.0,0.00498539400398251,0.0068251114280476,0.0018397174240650897,1,1,1
2,98,0,200.0,0.0049729258078512984,0.0072629502273066,0.002290024419455302,1,1,1
3,142,0,200.0,0.004999378077491191,0.0076688620514468,0.002669483973955609,1,1,1
4,72,0,200.0,0.004962611927635281,0.0066677680769705,0.0017051561493352197,1,1,1
5,6,1,1.0,0.004927521094500982,0.0061688616487956,0.0012413405542946176,0,1,0
6,124,1,1.0,0.004930406549162749,0.0057965936343546,0.000866187085191851,0,1,0
7,10,1,1.0,0.0049335531098620815,0.0063145068431948,0.0013809537333327182,1,1,1
8,114,1,1.0,0.0049963565072149285,0.0069320500080509,0.0019356935008359713,1,1,1
9,65,0,200.0,0.00501702101681626,0.0067198113931548,0.0017027903763385402,1,1,1
10,15,0,200.0,0.004968522715645693,0.0062170352686446,0.0012485125529989064,1,1,1
11,13,0,200.0,0.004995284564905386,0.0061688616487956,0.0011735770838902137,1,1,1
12,175,0,200.0,0.005000128118342682,0.0075506433251701,0.0025505152068274178,1,1,1
13,82,1,1.0,0.004934964679163548,0.0063145068431948,0.0013795421640312514,1,1,1
14,133,1,1.0,0.004957323265405329,0.0067722581488252,0.001814934883419871,1,1,1
15,84,0,200.0,0.004952053956560797,0.0065140282647974,0.0015619743082366027,1,1,1
16,44,0,200.0,0.004990884617877006,0.0065648795403279,0.0015739949224508939,1,1,1
17,107,0,200.0,0.005019479142926027,0.0072629502273066,0.002243471084380573,1,1,1
18,39,1,1.0,0.004944649957848351,0.0063638105465745,0.0014191605887261495,1,1,1
19,17,0,200.0,0.0049878230364365506,0.0072067309520897,0.0022189079156531497,1,1,1
20,160,0,200.0,0.004963781994938284,0.0069320500080509,0.0019682680131126156,1,1,1
21,2,1,1.0,0.004960675085535284,0.0064134967288832,0.0014528216433479157,1,1,1
22,186,1,1.0,0.00501073584935244,0.0074342333373786,0.0024234974880261604,1,1,1
23,180,1,1.0,0.004971929975203994,0.0065648795403279,0.0015929495651239058,1,1,1
24,83,1,1.0,0.00499946515807676,0.0066161251389442,0.0016166599808674405,1,1,1
25,53,1,1.0,0.004968124381563751,0.0063145068431948,0.0013463824616310486,1,1,1
26,91,1,1.0,0.005001544674238638,0.0074342333373786,0.002432688663139962,1,1,1
27,167,0,200.0,0.004967741823794166,0.0068251114280476,0.001857369604253434,1,1,1
28,138,0,200.0,0.004993015251596593,0.0066161251389442,0.001623109887347607,1,1,1
29,116,1,1.0,0.005019626326598463,0.0075506433251701,0.0025310169985716374,1,1,1
30,59,1,1.0,0.005013329911072059,0.0070406522664855,0.0020273223554134407,1,1,1
31,96,1,1.0,0.0049646975855067825,0.0062170352686446,0.0012523376831378172,1,1,1
32,145,0,200.0,0.004980932914900228,0.0066161251389442,0.0016351922240439723,1,1,1
33,123,0,200.0,0.005023763731708924,0.0073196048323005,0.0022958411005915757,1,1,1
34,25,0,200.0,0.00499803777844815,0.0072067309520897,0.00220869317364155,1,1,1
35,30,0,200.0,0.004993348676160557,0.0076095248768187,0.0026161762006581425,1,1,1
36,168,0,200.0,0.004982925190068531,0.0074342333373786,0.002451308147310069,1,1,1
37,33,1,1.0,0.004916034418080035,0.0063145068431948,0.001398472425114765,0,1,0
38,36,1,1.0,0.00498813250744228,0.0072067309520897,0.00221859844464742,1,1,1
39,176,0,200.0,0.005017524063674191,0.0073196048323005,0.002302080768626309,1,1,1
40,179,1,1.0,0.00493178410925665,0.0060265554121908,0.0010947713029341496,1,1,1
41,109,1,1.0,0.005010861444936329,0.0072067309520897,0.002195869507153371,1,1,1
42,177,1,1.0,0.005016074827716621,0.0068783743377837,0.0018622995100670793,1,1,1
43,146,1,1.0,0.004978773713952933,0.0064134967288832,0.0014347230149302668,1,1,1
44,21,1,1.0,0.005010408180051918,0.0069320500080509,0.0019216418279989819,1,1,1
45,75,0,200.0,0.004960025117919588,0.0065140282647974,0.001554003146877812,1,1,1
46,153,0,200.0,0.004941875737209387,0.0068783743377837,0.0019364986005743125,1,1,1
47,100,1,1.0,0.0049316464615149986,0.0062170352686446,0.0012853888071296012,1,1,1
48,85,0,200.0,0.005005699797599179,0.0066161251389442,0.0016104253413450212,1,1,1
49,174,1,1.0,0.005007539908515082,0.0072067309520897,0.0021991910435746184,1,1,1
50,46,1,1.0,0.004939924875865135,0.0059335021533881,0.0009935772775229654,1,1,1
51,58,0,200.0,0.004972064345894172,0.0065140282647974,0.0015419639189032282,1,1,1
52,188,0,200.0,0.005006334287114346,0.0070955852314104,0.0020892509442960545,1,1,1
53,129,0,200.0,0.004960502132314966,0.0066677680769705,0.0017072659446555347,1,1,1
54,45,1,1.0,0.004961318864154762,0.0062170352686446,0.001255716404489838,1,1,1
55,110,1,1.0,0.004990628069112731,0.0068251114280476,0.0018344833589348693,1,1,1
56,22,1,1.0,0.004978268156064906,0.0069861415920817,0.002007873436016794,1,1,1
57,103,1,1.0,0.005018954065680789,0.0070406522664855,0.002021698200804711,1,1,1
58,89,1,1.0,0.004944604588584206,0.0060265554121908,0.0010819508236065943,1,1,1
59,81,1,1.0,0.004945797025535592,0.0070955852314104,0.0021497882058748082,1,1,1
60,187,0,200.0,0.004989271640949731,0.0072629502273066,0.0022736785863568696,1,1,1
61,163,1,1.0,0.004942271273574788,0.0064635683182967,0.0015212970447219124,1,1,1
62,27,1,1.0,0.0049790941758449244,0.0067198113931548,0.001740717217309876,1,1,1
63,61,0,200.0,0.004962214945387793,0.0068783743377837,0.0019161593923959072,1,1,1
64,115,0,200.0,0.004979020006888403,0.0063638105465745,0.0013847905396860974,1,1,1
65,12,0,200.0,0.004987057033552688,0.0066677680769705,0.0016807110434178124,1,1,1
66,73,0,200.0,0.0049860724011668136,0.0073196048323005,0.002333532431133686,1,1,1
67,132,0,200.0,0.004931845788421037,0.0064134967288832,0.0014816509404621632,1,1,1
68,80,0,200.0,0.005018038184929045,0.0072067309520897,0.002188692767160655,1,1,1
69,144,0,200.0,0.004952039479219346,0.0060265554121908,0.0010745159329714543,1,1,1
70,101,0,200.0,0.004975024444107317,0.0070406522664855,0.0020656278223781833,1,1,1
71,79,1,1.0,0.004992715072616569,0.0076688620514468,0.002676146978830231,1,1,1
72,121,1,1.0,0.005022178976033886,0.0067198113931548,0.0016976324171209143,1,1,1
73,158,1,1.0,0.005010427614845763,0.0073766980873784,0.0023662704725326365,1,1,1
74,40,1,1.0,0.005004874708843537,0.0061210590102192,0.0011161843013756632,1,1,1
